time,0,1,2,3,4,5,6,7
1645219601.3244898,30.0,31.0,31.0,29.0,29.0,29.0,30.0,29.0
1645219601.6603122,30.0,31.0,31.0,29.0,29.0,29.0,30.0,29.0
1645219601.9958065,30.0,31.0,31.0,29.0,29.0,29.0,30.0,29.0
1645219602.3312936,30.0,30.0,31.0,30.0,30.0,29.0,30.0,29.0
1645219602.6672945,30.0,30.0,31.0,30.0,30.0,29.0,30.0,29.0
1645219603.0028265,30.0,30.0,31.0,30.0,30.0,29.0,30.0,29.0
1645219603.3382232,30.0,31.0,31.0,29.0,30.0,29.0,29.0,30.0
1645219603.6740913,30.0,31.0,31.0,29.0,30.0,29.0,29.0,30.0
1645219604.0096524,30.0,31.0,31.0,29.0,30.0,29.0,29.0,30.0
1645219604.3452325,30.0,31.0,31.0,29.0,30.0,29.0,30.0,30.0
1645219604.6811192,30.0,31.0,31.0,29.0,30.0,29.0,30.0,30.0
1645219605.0169692,30.0,31.0,31.0,29.0,30.0,29.0,30.0,30.0
1645219605.3524764,30.0,30.0,30.0,29.0,30.0,29.0,30.0,30.0
1645219605.6883209,30.0,30.0,30.0,29.0,30.0,29.0,30.0,30.0
1645219606.0238926,30.0,30.0,30.0,29.0,30.0,29.0,30.0,30.0
1645219606.3594003,31.0,31.0,30.0,29.0,29.0,30.0,30.0,30.0
1645219606.6954613,31.0,31.0,30.0,29.0,29.0,30.0,30.0,30.0
1645219607.0310137,31.0,31.0,30.0,29.0,29.0,30.0,30.0,30.0
1645219607.3665328,30.0,30.0,31.0,29.0,30.0,29.0,30.0,29.0
1645219607.702109,30.0,30.0,31.0,29.0,30.0,29.0,30.0,29.0
1645219608.0376928,30.0,30.0,31.0,29.0,30.0,29.0,30.0,29.0
1645219608.373261,30.0,30.0,31.0,29.0,30.0,29.0,30.0,29.0
1645219608.70884,30.0,30.0,31.0,29.0,30.0,29.0,30.0,29.0
1645219609.0443835,30.0,30.0,31.0,29.0,30.0,29.0,30.0,29.0
1645219609.3799188,30.0,31.0,29.0,29.0,30.0,29.0,30.0,29.0
1645219609.7157845,30.0,31.0,29.0,29.0,30.0,29.0,30.0,29.0
1645219610.0513065,30.0,31.0,29.0,29.0,30.0,29.0,30.0,29.0
1645219610.3864717,30.0,30.0,31.0,30.0,30.0,29.0,29.0,29.0
1645219610.7223973,30.0,30.0,31.0,30.0,30.0,29.0,29.0,29.0
1645219611.0579503,30.0,30.0,31.0,30.0,30.0,29.0,29.0,29.0
1645219611.393392,31.0,30.0,29.0,31.0,30.0,29.0,30.0,29.0
1645219611.7292902,31.0,30.0,29.0,31.0,30.0,29.0,30.0,29.0
1645219612.0648344,31.0,30.0,29.0,31.0,30.0,29.0,30.0,29.0
1645219612.4003437,30.0,31.0,31.0,29.0,30.0,29.0,30.0,29.0
1645219612.7364097,30.0,31.0,31.0,29.0,30.0,29.0,30.0,29.0
1645219613.0718942,30.0,31.0,31.0,29.0,30.0,29.0,30.0,29.0
1645219613.4074326,30.0,31.0,30.0,29.0,30.0,29.0,29.0,29.0
1645219613.7432206,30.0,31.0,30.0,29.0,30.0,29.0,29.0,29.0
1645219614.078768,30.0,31.0,30.0,29.0,30.0,29.0,29.0,29.0
1645219614.4142148,31.0,31.0,31.0,29.0,30.0,29.0,29.0,30.0
1645219614.7501438,31.0,31.0,31.0,29.0,30.0,29.0,29.0,30.0
1645219615.0857027,31.0,31.0,31.0,29.0,30.0,29.0,29.0,30.0
1645219615.4213045,30.0,31.0,31.0,29.0,30.0,29.0,30.0,30.0
1645219615.7573917,30.0,31.0,31.0,29.0,30.0,29.0,30.0,30.0
1645219616.0930204,30.0,31.0,31.0,29.0,30.0,29.0,30.0,30.0
1645219616.4285555,31.0,31.0,29.0,29.0,30.0,29.0,29.0,29.0
1645219616.76444,31.0,31.0,29.0,29.0,30.0,29.0,29.0,29.0
1645219617.1000082,31.0,31.0,29.0,29.0,30.0,29.0,29.0,29.0
1645219617.4354844,30.0,31.0,29.0,30.0,30.0,30.0,30.0,30.0
1645219617.771575,30.0,31.0,29.0,30.0,30.0,30.0,30.0,30.0
1645219618.1071389,30.0,31.0,29.0,30.0,30.0,30.0,30.0,30.0
1645219618.4424646,30.0,31.0,30.0,29.0,30.0,29.0,30.0,29.0
1645219618.7782938,30.0,31.0,30.0,29.0,30.0,29.0,30.0,29.0
1645219619.113832,30.0,31.0,30.0,29.0,30.0,29.0,30.0,29.0
1645219619.4492898,30.0,31.0,30.0,29.0,30.0,29.0,30.0,30.0
1645219619.7852874,30.0,31.0,30.0,29.0,30.0,29.0,30.0,30.0
1645219620.1207716,30.0,31.0,30.0,29.0,30.0,29.0,30.0,30.0
