"","x"
"1521",32.15
"1522",14
"1523",22
"1524",16
"1525",10
"1526",21.19
"1527",37
"1528",18.25
"1529",14.25
"1530",30
"1531",99.99
"1532",22
"1533",16
"1534",30
"1535",15.65
"1536",14
"1537",10
"1538",28
"1539",37
"1540",20
"1541",15.34
"1542",21
"1543",15
"1544",10
"1545",12.24
"1546",15
"1547",18.25
"1548",24.8
"1549",55
"1550",14.5
"1551",18.21
"1552",35
"1553",12.75
"1554",19.48
"1555",22
"1556",13.5
"1557",24.5
"1558",21.07
"1559",40
"1560",19.63
"1561",22.65
"1562",25.25
"1563",18.69
"1564",42
"1565",18
"1566",32
"1567",18
"1568",11.97
"1569",12
"1570",55
"1571",19
"1572",16.02
"1573",15.74
"1574",15
"1575",14.1
"1576",38.41
"1577",13
"1578",20
"1579",26
"1580",14.85
"1581",15
"1582",70
"1583",16
"1584",16.89
"1585",13
"1586",14
"1587",11
"1588",15.5
"1589",20
"1590",12
"1591",11
"1592",15.95
"1593",15
"1594",14.37
"1595",15
"1596",42
"1597",22
"1598",20
"1599",25
"1600",22
"1601",17.2
"1602",34.73
"1603",16
"1604",17.5
"1605",13.74
"1606",20
"1607",15.1
"1608",24.64
"1609",21.14
"1610",12.15
"1611",20
"1612",50
"1613",15.97
"1614",23
"1615",10.25
"1616",12.15
"1617",23.66
"1618",31
"1619",24.25
"1620",12
"1621",27.16
"1622",32.5
"1623",16.5
"1624",24
"1625",12.5
"1626",20.82
"1627",23
"1628",45
"1629",12.75
"1630",19.56
"1631",14
"1632",9
"1633",16
"1634",55
"1635",12
"1636",33
"1637",41
"1638",15
"1639",30
"1640",18
"1641",24.75
"1642",25
"1643",27
"1644",17
"1645",24
"1646",12.03
"1647",19
"1648",13
"1649",12
"1650",20
"1651",18.9
"1652",20
"1653",24
"1654",15
"1655",10.36
"1656",22
"1657",16.2
"1658",26
"1659",16.32
"1660",46
"1661",47
"1662",8.5
"1663",40
"1664",27.5
"1665",15.55
"1666",38.41
"1667",26
"1668",35
"1669",20.3
"1670",18
"1671",37
"1672",24
"1673",13
"1674",18.65
"1675",40
"1676",14
"1677",24
"1678",16.5
"1679",27
"1680",15
"1681",55
"1682",9
"1683",9
"1684",12.75
"1685",32
"1686",17
"1687",7.5
"1688",9
"1689",17
"1690",37.8
"1691",20
"1692",22.5
"1693",19.5
"1694",26
"1695",38
"1696",12
"1697",12
"1698",27
"1699",29.04
"1700",30
"1701",19
"1702",15.8
"1703",75
"1704",15
"1705",15
"1706",20
"1707",27.39
"1708",16
"1709",32
"1710",11.5
"1711",79.32
"1712",14
"1713",26.73
"1714",12.78
"1715",18
"1716",11
"1717",15
"1718",9.25
"1719",15.5
"1720",14.25
"1721",10
"1722",12
"1723",8.7
"1724",7.6
"1725",16.5
"1726",11
"1727",13
"1728",22
"1729",15.7
"1730",8
"1731",15
"1732",12
"1733",11
"1734",14
"1735",14.4
"1736",9
"1737",14
"1738",15
"1739",15
"1740",71
"1741",25
"1742",20
"1743",11.75
"1744",35.5
"1745",33
"1746",19.26
"1747",43
"1748",15.5
"1749",99.99
"1750",23
"1751",16.35
"1752",11
"1753",13.22
"1754",27.5
"1755",20
"1756",19
"1757",10.8
"1758",24
"1759",13
"1760",19
"1761",12.88
"1762",13.5
"1763",12.3
"1764",40
"1765",10
"1766",15
"1767",20
"1768",38
"1769",25
"1770",15.5
"1771",11.25
"1772",10
"1773",2.13
"1774",10.5
"1775",20
"1776",15
"1777",22.5
"1778",35
"1779",15.6
"1780",22
"1781",15
"1782",28
"1783",13.5
"1784",40
"1785",22.5
"1786",39
"1787",14
"1788",16.64
"1789",29
"1790",46.21
"1791",15
"1792",30
"1793",21
"1794",25
"1795",28
"1796",14
"1797",16.08
"1798",32.3
"1799",20
"1800",72.12
"1801",38.62
"1802",13.5
"1803",54
"1804",26
"1805",15
"1806",72
"1807",9
"1808",11.2
"1809",25
"1810",20
"1811",26
"1812",25.4
"1813",16
"1814",15
"1815",11.5
"1816",32
"1817",7.5
"1818",21
"1819",4.75
"1820",42
"1821",21.15
"1822",13
"1823",18
"1824",39
"1825",30.8
"1826",18
"1827",31.22
"1828",19.63
"1829",16
"1830",55
"1831",14
"1832",14
"1833",15
"1834",20
"1835",18
"1836",30
"1837",13.5
"1838",29.41
"1839",13.42
"1840",24
"1841",49.58
"1842",18
"1843",37.5
"1844",46
"1845",7.25
"1846",12
"1847",21.5
"1848",11.15
"1849",16
"1850",17
"1851",23
"1852",39.8
"1853",11.5
"1854",18.67
"1855",22
"1856",18
"1857",30
"1858",18
"1859",27
"1860",25
"1861",85
"1862",14.5
"1863",27.45
"1864",33
"1865",14
"1866",20
"1867",16
"1868",13
"1869",99
"1870",34
"1871",29
"1872",14
"1873",20
"1874",24.09
"1875",14
"1876",12
"1877",17
"1878",21.25
"1879",13
"1880",6
"1881",22.5
"1882",18
"1883",10.25
"1884",19
"1885",22
"1886",3.3
"1887",10
"1888",12
"1889",15
"1890",7.5
"1891",13.5
"1892",13
"1893",31.5
"1894",8
"1895",12.5
"1896",14
"1897",30
"1898",20
"1899",51
"1900",8.46
"1901",32
"1902",19.5
"1903",10
"1904",18
"1905",21.5
"1906",19
"1907",28
"1908",35
"1909",20
"1910",15
"1911",25
"1912",23
"1913",16.5
"1914",78
"1915",45
"1916",15
"1917",14.2
"1918",18
"1919",10.91
"1920",15.65
"1921",22.22
"1922",10
"1923",12
"1924",33
"1925",18.2
"1926",14.4
"1927",7.25
"1928",22
"1929",15
"1930",16
"1931",14
"1932",15
"1933",14.5
"1934",8.25
"1935",31.5
"1936",8.5
"1937",13.25
"1938",13
"1939",24
"1940",31.25
"1941",22
"1942",9.5
"1943",18
"1944",13
"1945",18.5
"1946",12
"1947",26.5
"1948",16
"1949",10.25
"1950",15
"1951",19
"1952",15
"1953",21.3
"1954",45
"1955",19
"1956",8.75
"1957",12
"1958",15
"1959",18.75
"1960",19.5
"1961",67
"1962",7.75
"1963",24
"1964",20
"1965",15.25
"1966",16
"1967",12
"1968",46
"1969",12
"1970",24
"1971",17.5
"1972",26.5
"1973",21
"1974",21
"1975",19.82
"1976",24.95
"1977",57.69
"1978",30
"1979",13
"1980",11
"1981",22.9
"1982",15
"1983",12
"1984",13.25
"1985",20
"1986",18.29
"1987",35
