"","x"
"1159",1500
"1160",1480.76
"1161",611.07
"1162",807.6
"1163",2019.23
"1164",260
"1165",2100
"1166",1100
"1167",2500
"1168",1750
"1169",1923.07
"1170",76.15
"1171",576.92
"1172",2000
"1173",645
"1174",937.5
"1175",1384.61
"1176",992.5
"1177",1984.61
"1178",900
"1179",1200
"1180",2884.61
"1181",608
"1182",1732.5
"1183",961.53
"1184",1980.76
"1185",2884.61
"1186",384.61
"1187",1730.76
"1188",865.38
"1189",980.76
"1190",1350
"1191",2884.61
"1192",1846.15
"1193",250
"1194",961.53
"1195",653.2
"1196",1112
"1197",1923.07
"1198",771.2
"1199",1425
"1200",942
"1201",720
"1202",1826.92
"1203",1923.07
"1204",720
"1205",673.07
"1206",1001.92
"1207",1250
"1208",769.23
"1209",1250
"1210",1038.46
"1211",1000
"1212",481.4
"1213",2211.53
"1214",2019.23
"1215",1115.6
"1216",1250
"1217",1153.84
"1218",695.12
"1219",2884.61
"1220",2884.61
"1221",461.53
"1222",807.69
"1223",600
"1224",1442.3
"1225",1923.07
"1226",532
"1227",1846.15
"1228",1827.6
"1229",768
"1230",1326.92
"1231",738.46
"1232",1061
"1233",175
"1234",80.1
"1235",640
"1236",1923.07
"1237",254.8
"1238",950
"1239",2000
"1240",2000
"1241",1269.23
"1242",1730.76
"1243",931.06
"1244",1346.15
"1245",2500
"1246",1107.69
"1247",1076.92
"1248",615.38
"1249",1500
"1250",720
"1251",2000
"1252",388.5
"1253",240
"1254",75
"1255",1153.84
"1256",1009.61
"1257",716
"1258",700
"1259",1400
"1260",2884.61
"1261",250
"1262",2884.61
"1263",288.46
"1264",1057.69
"1265",225
"1266",615.38
"1267",375
"1268",2307.69
"1269",600
"1270",1279.2
"1271",2884.61
"1272",2884.61
"1273",1153.84
"1274",924
"1275",2884.61
"1276",2788.46
"1277",560
"1278",730.76
"1279",1346.15
"1280",2692.3
"1281",1400
"1282",462.5
"1283",756
"1284",633.2
"1285",88
"1286",2115.38
"1287",390
"1288",500
"1289",1230.76
"1290",600
"1291",738.46
"1292",903.84
"1293",300
"1294",980.76
"1295",1200
"1296",1000
"1297",2884.61
"1298",1923.07
"1299",1061.53
"1300",249.23
"1301",380
"1302",1192.3
"1303",2884.61
"1304",1923.07
"1305",400
"1306",1250
"1307",1923.07
"1308",2538.46
"1309",2884.61
"1310",1923.07
"1311",2884.61
"1312",569.95
"1313",300
"1314",769.23
"1315",2173
"1316",1730.76
"1317",850
"1318",288.46
"1319",860
"1320",1846.15
"1321",1634.61
"1322",1750
"1323",936
"1324",1961.53
"1325",2884.61
"1326",560
"1327",1480
"1328",640
"1329",980.76
"1330",480
"1331",2307.69
"1332",2330
"1333",2884.61
"1334",1076.92
"1335",304
"1336",315
"1337",1500
"1338",650
"1339",680
"1340",2884.61
"1341",1160
"1342",1442.3
"1343",746
"1344",2160
"1345",240
"1346",1480.76
"1347",1923.07
"1348",1730.76
"1349",1057.69
"1350",2500
"1351",1923.07
"1352",750
"1353",1153.84
"1354",2400
"1355",2884.61
"1356",1923.07
"1357",600
"1358",200
"1359",1236.92
"1360",1346.15
"1361",1634.61
"1362",1923
"1363",1250
"1364",2596.15
"1365",440
"1366",1500
"1367",760
"1368",678.2
"1369",1080
"1370",2884.61
"1371",50
"1372",490
"1373",1961.53
"1374",2307.69
"1375",450
"1376",2019.23
"1377",1615.38
"1378",1346
"1379",2048.07
"1380",230.76
"1381",700
"1382",920
"1383",2171.15
"1384",780
"1385",270
"1386",0
"1387",800
"1388",2884.61
"1389",1096.15
"1390",1346.15
"1391",276.92
"1392",2884.61
"1393",2884.61
"1394",600
"1395",1000
"1396",2538.46
"1397",1500
"1398",788.46
"1399",1198.07
"1400",300
"1401",2884.61
"1402",1634.61
"1403",520
"1404",440
"1405",1826.92
"1406",1846.15
"1407",1961.53
"1408",420
"1409",1900
"1410",1130
"1411",441.17
"1412",350
"1413",1200
"1414",2826.92
"1415",1038.46
"1416",1250
"1417",1230.76
"1418",1150
"1419",2884.61
"1420",1000
"1421",911
"1422",570
"1423",440
"1424",1557.69
"1425",1365.38
"1426",290
"1427",1076.92
"1428",27.69
"1429",1057.69
"1430",826.92
"1431",1903.84
"1432",711.53
"1433",288
"1434",2884.61
"1435",865.38
"1436",700
"1437",590
"1438",2000
"1439",760.86
"1440",1012.4
"1441",618.4
"1442",865
"1443",548
"1444",550
"1445",600
"1446",1230.76
"1447",580
"1448",1200
"1449",615.38
"1450",250
"1451",961.53
"1452",1711.53
"1453",1442.3
"1454",960
"1455",800
"1456",1384.61
"1457",1115.38
"1458",247.5
"1459",1269.23
"1460",1442.3
"1461",800
"1462",140
"1463",2576.92
"1464",495
"1465",617.5
"1466",480
"1467",260
"1468",1000
"1469",600
"1470",540
"1471",125
"1472",1000
"1473",538.46
"1474",270
"1475",673.07
"1476",244.8
"1477",100
"1478",553.84
"1479",1000
"1480",1538.46
"1481",864
"1482",1080
"1483",334
"1484",400
"1485",507.69
"1486",2884.61
"1487",900
"1488",1500
"1489",2230.76
"1490",1002.4
"1491",240
"1492",740
"1493",1346.15
"1494",2307.69
"1495",2192.3
"1496",1776.92
"1497",1150
"1498",300
"1499",750
"1500",2884.61
"1501",622.18
"1502",800
"1503",1153.84
"1504",923.07
"1505",1519.23
"1506",720
"1507",1846.15
"1508",780
"1509",360
"1510",961.53
"1511",2596.15
"1512",880
"1513",600
"1514",2692.3
"1515",577.5
"1516",961.53
"1517",750
"1518",1588
"1519",1288.46
"1520",1730.76
"1521",1250
"1522",300
"1523",700
"1524",300
"1525",500
"1526",692.3
"1527",1538.46
"1528",555
"1529",180
"1530",540
"1531",2884.61
"1532",2165.38
"1533",332.5
"1534",1211.53
"1535",1884.61
"1536",198
"1537",2884.61
"1538",738.46
"1539",240
"1540",913
"1541",2692.3
"1542",2450
"1543",2884.61
"1544",650
"1545",1250
"1546",1410
"1547",1184.61
"1548",2666
"1549",480.76
"1550",1878.2
"1551",1153.84
"1552",520
"1553",499.38
"1554",920
"1555",330
"1556",740
"1557",346.15
"1558",807.69
"1559",270
"1560",1442.3
"1561",1250
"1562",1488.32
"1563",1826.92
"1564",190
"1565",510
"1566",865.38
"1567",2884.61
"1568",2884.61
"1569",288.46
"1570",2884.61
"1571",673.07
"1572",300
"1573",2884.61
"1574",414.75
"1575",1384.61
"1576",1730.76
"1577",1346.15
"1578",1280
"1579",884.61
"1580",600
"1581",1269.23
"1582",135
"1583",720
"1584",1000
"1585",923.07
"1586",702
"1587",1300
"1588",884.61
"1589",1346.15
"1590",1923
"1591",300
"1592",258.74
"1593",538.46
"1594",1250
"1595",1800
"1596",769.23
"1597",346.15
"1598",500
"1599",2884.61
"1600",1230.76
"1601",1730.76
"1602",923.07
"1603",2019
"1604",673.07
"1605",817
"1606",1057.69
"1607",2884.61
"1608",865.55
"1609",1600
"1610",175
"1611",380
"1612",300
"1613",710
"1614",572
"1615",225
"1616",26
"1617",50
"1618",640
"1619",1169.5
"1620",495
"1621",195
"1622",615.38
"1623",180
"1624",191.25
"1625",860
"1626",250
"1627",800
"1628",1326.92
"1629",1826.92
"1630",828
"1631",1057.69
"1632",1172.4
"1633",1730.76
"1634",2653.84
"1635",1980.76
"1636",480
"1637",1800
"1638",2884.61
"1639",620
"1640",2884.61
"1641",680
"1642",2230.76
"1643",500
"1644",1325
"1645",1250
"1646",560
"1647",706.3
"1648",1250
"1649",2400
"1650",800
"1651",2000
"1652",1040
"1653",1846.15
"1654",1538.46
"1655",1480
"1656",355
"1657",600
"1658",1442.3
"1659",2118
"1660",1000
"1661",580
"1662",932.69
"1663",400
"1664",2115.38
"1665",840
"1666",1400
"1667",2884.61
"1668",500
"1669",2596.15
"1670",2384.61
"1671",1346.15
"1672",600
"1673",1946.15
"1674",923.07
"1675",800
"1676",865.38
"1677",1730.76
"1678",960
"1679",2115.38
"1680",900
"1681",180
"1682",427.5
"1683",800
"1684",661.6
"1685",2884.61
"1686",984.8
"1687",1640
"1688",875
"1689",1160
"1690",807.69
"1691",1567.6
"1692",1923.07
"1693",2884.61
"1694",1769.23
"1695",1330
"1696",1461.53
"1697",1403.84
"1698",807.69
"1699",2230.76
"1700",1000
"1701",2500
"1702",788.46
"1703",1403.84
"1704",752
"1705",840
"1706",1875
"1707",1125.2
"1708",2288.46
"1709",638.4
"1710",2884.61
"1711",2288
"1712",550
"1713",1153.84
"1714",682
"1715",1950
"1716",961.53
"1717",800
"1718",0.03
"1719",2884.61
"1720",576.92
"1721",402.5
"1722",1240
"1723",1923.07
"1724",600
"1725",560
"1726",276.92
"1727",1250
"1728",769.23
"1729",2000
"1730",923.07
"1731",1026
"1732",1042
"1733",1057.69
"1734",2884.61
"1735",450
"1736",1500
"1737",2511.53
"1738",840.9
"1739",2400
"1740",350
"1741",606.5
"1742",1500
"1743",2884.61
"1744",2400
"1745",300
"1746",2884.61
"1747",600
"1748",800
"1749",769.23
"1750",1846.15
"1751",650
"1752",972
"1753",2211.53
"1754",2884.61
"1755",2884.61
"1756",270
"1757",1500
"1758",1038.46
"1759",1153.84
"1760",480
"1761",2884.61
"1762",769.23
"1763",1538.46
"1764",2884.61
"1765",2500
"1766",576.92
"1767",769.23
"1768",2539.8
"1769",860.53
"1770",461.53
"1771",380
"1772",2700
"1773",476.7
"1774",673.07
"1775",2211.5
"1776",2115.38
"1777",500
"1778",230
"1779",1060
"1780",2884.61
"1781",2884.61
"1782",1140
"1783",539
"1784",1061.11
"1785",420
"1786",1150
"1787",2884.61
"1788",500
"1789",500
"1790",1442.3
"1791",1576.92
"1792",800
"1793",2884.61
"1794",1600
"1795",1269.23
"1796",300
"1797",961.53
"1798",673.07
"1799",2019.23
"1800",1250
"1801",880
"1802",2346.15
"1803",990
"1804",1699.03
"1805",1153.84
"1806",1538.46
"1807",223
"1808",1826.92
"1809",1120
"1810",300
"1811",1576.92
"1812",2500
"1813",560
"1814",550
"1815",535.11
"1816",672
"1817",2596.15
"1818",1923.07
"1819",1562.5
"1820",1288.46
"1821",336
"1822",57.69
"1823",200
"1824",1500
"1825",165
"1826",450
"1827",1576.92
"1828",2500
"1829",1041.66
"1830",2884.61
"1831",136
"1832",800
"1833",769.23
"1834",1634.61
"1835",784.61
"1836",560
"1837",500
"1838",2750
"1839",961.53
"1840",292.5
"1841",1080
"1842",2884.61
"1843",2680
"1844",2884.61
"1845",137.5
"1846",1360
"1847",225
"1848",420
"1849",350
"1850",495
"1851",300
"1852",230
"1853",131
"1854",600
"1855",430
"1856",560
"1857",2692.3
"1858",720
"1859",1000
"1860",365.38
"1861",2403.84
"1862",1884.61
"1863",270
"1864",1346.15
"1865",800
"1866",1100
"1867",1192.3
"1868",2884.61
"1869",1538.46
"1870",780
"1871",1346.15
"1872",2692.3
"1873",1153.84
"1874",1634.61
"1875",1403.84
"1876",1500
"1877",2403.84
"1878",1250
"1879",230
"1880",650
"1881",1112.96
"1882",400
"1883",564.48
"1884",800
"1885",1500
"1886",455
"1887",2884.61
"1888",2884.61
"1889",1153.84
"1890",1000
"1891",2115.38
"1892",2884.61
"1893",769.23
"1894",2019.23
"1895",200
"1896",2307.69
"1897",2884.61
"1898",500
"1899",673.07
"1900",807.69
"1901",660
"1902",2884.61
"1903",507.69
"1904",680
"1905",2884.61
"1906",288
"1907",2884.61
"1908",2884.61
"1909",1538.46
"1910",961.53
"1911",1826
"1912",2884.61
"1913",2884.61
"1914",1730.76
"1915",1576.92
"1916",1136.5
"1917",1000
"1918",1346.15
"1919",912
"1920",2000
"1921",690
"1922",937.5
"1923",990
"1924",1288.46
"1925",2884.61
"1926",1153.84
"1927",1000
"1928",198.46
"1929",2480.76
"1930",800
"1931",1057.69
"1932",730.76
"1933",1000
"1934",350
"1935",961.53
"1936",1896.4
"1937",300
"1938",538.46
"1939",2596.15
"1940",2884.61
"1941",520
"1942",640
"1943",880
"1944",961.53
"1945",778.84
"1946",253.5
"1947",340
"1948",2000
"1949",1346.15
"1950",2403.84
"1951",680
"1952",1826.92
"1953",961.53
"1954",1826.92
"1955",2399.76
"1956",640
"1957",1153.84
"1958",442.3
"1959",1425
"1960",225
"1961",550
"1962",576.92
"1963",600
"1964",336
"1965",711.05
"1966",247.5
"1967",519.23
"1968",325
"1969",576.92
"1970",640
"1971",500
"1972",790.8
"1973",1442.3
"1974",710
"1975",450
"1976",2500
"1977",2100
"1978",393
"1979",600
"1980",2307.69
