"Timestamp","flip [1]","flip [2]","flip [3]","flip [4]","flip [5]","flip [6]","flip [7]","flip [8]","flip [9]","flip [10]"
"2022/01/18 4:34:07 PM MST","tails","tails","tails","tails","tails","tails","tails","tails","tails","tails"
"2022/01/18 4:34:17 PM MST","tails","tails","tails","tails","tails","tails","tails","tails","tails","tails"
"2022/01/18 4:34:31 PM MST","tails","tails","tails","tails","tails","tails","tails","tails","tails","tails"
"2022/01/18 4:34:38 PM MST","tails","tails","tails","tails","tails","tails","tails","tails","tails","tails"
"2022/01/18 4:34:53 PM MST","tails","tails","tails","tails","tails","tails","tails","tails","tails","tails"
"2022/01/18 4:35:04 PM MST","tails","tails","tails","tails","tails","tails","tails","tails","tails","tails"
"2022/01/18 4:35:14 PM MST","tails","tails","tails","tails","tails","tails","tails","tails","tails","tails"
"2022/01/18 4:35:33 PM MST","tails","tails","tails","tails","tails","tails","tails","tails","tails","tails"
"2022/01/18 6:02:07 PM MST","tails","tails","heads","tails","heads","heads","heads","tails","tails","heads"
"2022/01/18 10:46:17 PM MST","heads","tails","tails","heads","tails","tails","heads","heads","tails","tails"
"2022/01/20 1:23:41 PM MST","heads","heads","tails","tails","heads","tails","heads","heads","tails","tails"
