"popestimate2015","fips"
19347,"18123"
12594,"18125"
167688,"18127"
25512,"18129"
12889,"18131"
37585,"18133"
25172,"18135"
28701,"18137"
16672,"18139"
268441,"18141"
23744,"18143"
44478,"18145"
20715,"18147"
22958,"18149"
34372,"18151"
20928,"18153"
10524,"18155"
185826,"18157"
15267,"18159"
7182,"18161"
181877,"18163"
15692,"18165"
107896,"18167"
32138,"18169"
8269,"18171"
61897,"18173"
27827,"18175"
67001,"18177"
27964,"18179"
24293,"18181"
33406,"18183"
7228,"19001"
3796,"19003"
13886,"19005"
12529,"19007"
5773,"19009"
25658,"19011"
133455,"19013"
26643,"19015"
24722,"19017"
21062,"19019"
20493,"19021"
14915,"19023"
9818,"19025"
20498,"19027"
13427,"19029"
18340,"19031"
43017,"19033"
11574,"19035"
12097,"19037"
9259,"19039"
16507,"19041"
17644,"19043"
47768,"19045"
17094,"19047"
80133,"19049"
8769,"19051"
8220,"19053"
17403,"19055"
40055,"19057"
17111,"19059"
97125,"19061"
9769,"19063"
20257,"19065"
15960,"19067"
10295,"19069"
6906,"19071"
9027,"19073"
12435,"19075"
10676,"19077"
15190,"19079"
10974,"19081"
17367,"19083"
14265,"19085"
19950,"19087"
9410,"19089"
9555,"19091"
7028,"19093"
16401,"19095"
19444,"19097"
36827,"19099"
17555,"19101"
144251,"19103"
20466,"19105"
10163,"19107"
15165,"19109"
35089,"19111"
219916,"19113"
11185,"19115"
8682,"19117"
11745,"19119"
15753,"19121"
22324,"19123"
33294,"19125"
40746,"19127"
14844,"19129"
10832,"19131"
8979,"19133"
7973,"19135"
10234,"19137"
43011,"19139"
13984,"19141"
6154,"19143"
15527,"19145"
9133,"19147"
24800,"19149"
7008,"19151"
467711,"19153"
93671,"19155"
18550,"19157"
5068,"19159"
10021,"19161"
172126,"19163"
11927,"19165"
34937,"19167"
96021,"19169"
17337,"19171"
6205,"19173"
12469,"19175"
7344,"19177"
35173,"19179"
48626,"19181"
22247,"19183"
6385,"19185"
37071,"19187"
10609,"19189"
20709,"19191"
102782,"19193"
7569,"19195"
12773,"19197"
12717,"20001"
7808,"20003"
16398,"20005"
4823,"20007"
27103,"20009"
14712,"20011"
9776,"20013"
66741,"20015"
2679,"20017"
3402,"20019"
20533,"20021"
2679,"20023"
2096,"20025"
8347,"20027"
9219,"20029"
8384,"20031"
1843,"20033"
35788,"20035"
39217,"20037"
2932,"20039"
19303,"20041"
7797,"20043"
118053,"20045"
2968,"20047"
2605,"20049"
29029,"20051"
6343,"20053"
37118,"20055"
34536,"20057"
25609,"20059"
37030,"20061"
2640,"20063"
2591,"20065"
7733,"20067"
6133,"20069"
1330,"20071"
6244,"20073"
2474,"20075"
5817,"20077"
35073,"20079"
